LSG Name, Population
Thalayazham__Kottayam,20151
Kottayam(M)__Kottayam,138283
Njeezhoor__Kottayam,17640
Velloor__Kottayam,22785
Thalayolaparambu__Kottayam,22571
Changanassery(M)__Kottayam,47685
Pala(M)__Kottayam,2256
Neendoor__Kottayam,19903
Kadaplamattam__Kottayam,13046
Chempu__Kottayam,21049
Ramapuram__Kottayam,29395
Arakkuzha__Ernakulam,15404
Ayavana__Ernakulam,20539
Aiykkaranadu__Ernakulam,21107
Alangad__Ernakulam,41251
Aluva(M)__Ernakulam,22428
Amballur__Ernakulam,25628
Angamali(M)__Ernakulam,33465
Asamannur__Ernakulam,19311
Avoly__Ernakulam,19797
Ayyampuzha__Ernakulam,14211
Chellanam__Ernakulam,37399
Chendamangalam__Ernakulam,29326
Chengamanadu__Ernakulam,27978
Cheranallur__Ernakulam,30594
Chittattukara__Ernakulam,31303
Choornikkara__Ernakulam,32746
Chottanikara__Ernakulam,22656
Edakkattuvayal__Ernakulam,18158
Edathala__Ernakulam,44204
Edavavanakad__Ernakulam,21787
Elanji__Ernakulam,16495
Elankunnapuzha__Ernakulam,50714
Eloor(M)__Ernakulam,36722
Ezhikkara__Ernakulam,18019
Kadamakkudy__Ernakulam,16295
Kadungalloor__Ernakulam,41827
Kalady__Ernakulam,28279
Kalamasseri(M)__Ernakulam,7138
Kalloorkkad__Ernakulam,13337
Kanjoor__Ernakulam,22541
Karukutty__Ernakulam,28118
Karumaloor__Ernakulam,36078
Kavalangad__Ernakulam,29727
Keerampara__Ernakulam,12525
Keezhmadu__Ernakulam,36567
Kizhakkambalam__Ernakulam,33363
Kochi(C)__Ernakulam,60246
Koothattukulam(M)__Ernakulam,17253
Koovappady__Ernakulam,36241
Kothamangalam(M)__Ernakulam,38837
Kottappady__Ernakulam,17903
Kottuvally__Ernakulam,42852
Kumbalam__Ernakulam,29193
Kumbalangy__Ernakulam,28248
Kunnathunad__Ernakulam,33508
Kunnukara__Ernakulam,21765
Kuttampuzha__Ernakulam,24451
Kuzhuppilly__Ernakulam,12137
Malayattoor Neeleeswaram__Ernakulam,25485
Maneedu__Ernakulam,16980
Manjallur__Ernakulam,17361
Manjapra__Ernakulam,16011
Marad(M)__Ernakulam,44704
Marady__Ernakulam,15543
Mazhuvannur__Ernakulam,34083
Mookkannoor__Ernakulam,19628
Mudakkuzha__Ernakulam,17355
Mulanthuruthy__Ernakulam,21833
Mulavukadu__Ernakulam,25852
Muvattupuzha(M)__Ernakulam,30397
Nayarambalam__Ernakulam,24127
Nedumbassery__Ernakulam,31304
Nellikuzhy__Ernakulam,41181
Njarakkal__Ernakulam,23760
Okkal__Ernakulam,24186
Paingottoor__Ernakulam,15441
Payipra__Ernakulam,42682
Palakuzha__Ernakulam,13412
Pallarimangalam__Ernakulam,14848
Pallippuram__Ernakulam,44042
Pampakkuda__Ernakulam,17672
North Paravoor(M)__Ernakulam,31503
Perumbavoor(M)__Ernakulam,28110
Pindimana__Ernakulam,16519
Piravom(M)__Ernakulam,27229
Poothrika__Ernakulam,21053
Pothanikkad__Ernakulam,10221
Puthenvelikara__Ernakulam,28227
Ramamangalam__Ernakulam,14850
Rayamangalam__Ernakulam,36722
Sreemoolanagaram__Ernakulam,25708
Thirumaradi__Ernakulam,17585
Thiruvaniyoor__Ernakulam,25171
Thrikkakkara(M)__Ernakulam,77319
Thrippunithura(M)__Ernakulam,92550
Thuravoor__Ernakulam,21468
Udayamperoor__Ernakulam,39538
Vadakkekara__Ernakulam,32745
Vadavucode Puthenkurissu__Ernakulam,24911
Valakom__Ernakulam,18308
Varapetty__Ernakulam,18529
Varapuzha__Ernakulam,26750
Vazhakkulam__Ernakulam,41521
