,name,day,S,E,I,R
106,Kizhuvilam__Thiruvananthapuram,2,32900.999877204034,0.00010075566851635862,2.2040302512868958e-05,0.0
107,Kollayil__Thiruvananthapuram,2,25076.999007084774,0.0008146996712187023,0.00017821555521636126,0.0
108,Kottukal__Thiruvananthapuram,2,33335.99949627315,0.00041331434316967965,9.041251298216445e-05,0.0
109,Kulathoor__Thiruvananthapuram,2,32568.999460516847,0.0004426528433701544,9.68303099730263e-05,0.0
110,Kunnathukal__Thiruvananthapuram,2,39413.99771636583,0.0018737511089299678,0.00040988306227148267,0.0
111,Madavoor__Thiruvananthapuram,2,21090.999900879346,8.13297682695756e-05,1.7790886834294213e-05,0.0
112,Malayinkeezhu__Thiruvananthapuram,2,37067.99916440049,0.0006856201089666719,0.0001499793998604781,0.0
113,Manampoor__Thiruvananthapuram,2,23197.99992743377,5.954152040221076e-05,1.3024707600324002e-05,0.0
114,Mangalapuram__Thiruvananthapuram,2,36955.99981709494,0.00015007594836335706,3.282911375369705e-05,0.0
115,Manikkal__Thiruvananthapuram,2,37905.999819316836,0.00014825285467850823,3.2430312007744395e-05,0.0
116,Maranalloor__Thiruvananthapuram,2,36831.99898081485,0.0008362544825397176,0.0001829306695887375,0.0
117,Mudakkal__Thiruvananthapuram,2,36466.99987646732,0.00010136014427295984,2.217253158245959e-05,0.0
118,Nagaroor__Thiruvananthapuram,2,26511.999888250408,9.169197511895203e-05,2.0057619582877833e-05,0.0
119,Nanniyodu__Thiruvananthapuram,2,26929.999769634105,0.00018901816946475538,4.1347724677545134e-05,0.0
120,Navayikkulam__Thiruvananthapuram,2,40701.99989899993,8.287185273778087e-05,1.812821780001462e-05,0.0
121,Nedumangad(M)__Thiruvananthapuram,2,60160.9991238284,0.0007189100329862809,0.00015726157040945254,0.0
122,Nellanadu__Thiruvananthapuram,2,25980.999838632124,0.00013240441233104325,2.8963465251902214e-05,0.0
123,Neyyattinkara(M)__Thiruvananthapuram,2,70849.99740519286,0.002129072514675305,0.0004657346177515389,0.0
124,Ottasekharamangalam__Thiruvananthapuram,2,18793.993454409236,0.005370741035493018,0.001174849725447736,0.0
125,Ottoor__Thiruvananthapuram,2,16084.999951290774,3.99665429539443e-05,8.742681279194163e-06,0.0
126,Pallichal__Thiruvananthapuram,2,45218.99920811906,0.0006497484648983701,0.00014213247745041108,0.0
127,Pallikkal__Thiruvananthapuram,2,16899.999918980404,6.647761809446985e-05,1.454197897928091e-05,0.0
128,Panavoor__Thiruvananthapuram,2,20347.999781381986,0.00017937888230505888,3.9239130631922775e-05,0.0
129,Pangod__Thiruvananthapuram,2,29038.99981602962,0.0001509500565763608,3.3020324939440324e-05,0.0
130,Parassala__Thiruvananthapuram,2,52262.998072954164,0.0015811658111587878,0.0003458800250537687,0.0
131,Pazhayakunnummel__Thiruvananthapuram,2,24607.99985509045,0.00011890014314026757,2.6009406358323958e-05,0.0
132,Peringammala__Thiruvananthapuram,2,27666.9997876897,0.00017420332409526164,3.810697723440932e-05,0.0
133,Perumkadavila__Thiruvananthapuram,2,23384.99875460099,0.0010218658490256682,0.0002235331580800709,0.0
134,Poovachal__Thiruvananthapuram,2,43609.99799979559,0.001641193360287808,0.00035901105255034803,0.0
135,Poovar__Thiruvananthapuram,2,19627.999721496766,0.00022851547411820478,4.998776017818738e-05,0.0
136,Pothencodu__Thiruvananthapuram,2,29369.999827962794,0.00014115873130515788,3.0878472527787e-05,0.0
137,Pulimathu__Thiruvananthapuram,2,32292.99988179102,9.699198380890891e-05,2.1216996481722392e-05,0.0
138,Pullampara__Thiruvananthapuram,2,21816.999879724142,9.868788308826094e-05,2.1587974461604363e-05,0.0
139,Thirupuram__Thiruvananthapuram,2,18897.999679820347,0.0002627115104747925,5.7468143211265945e-05,0.0
140,Thiruvananthapuram(C)__Thiruvananthapuram,2,966855.9829090474,0.014023345702364113,0.003067606888816243,0.0
141,Tholikkodu__Thiruvananthapuram,2,25273.999633016916,0.00030111432392948334,6.586875864926132e-05,0.0
142,Uzhamalakkal__Thiruvananthapuram,2,21471.999488477362,0.0004197108813114687,9.18117559493563e-05,0.0
143,Vakkam__Thiruvananthapuram,2,16532.999954459818,3.736630354617306e-05,8.173878907544794e-06,0.0
144,Vamanpuram__Thiruvananthapuram,2,21037.999871022006,0.00010582809627997625,2.3149896104231828e-05,0.0
145,Varkala(M)__Thiruvananthapuram,2,40047.99983053152,0.00013905106109921603,3.041741965443942e-05,0.0
146,Vellanad__Thiruvananthapuram,2,31155.99920159878,0.0006550984351701012,0.00014330278380573252,0.0
147,Vellarada__Thiruvananthapuram,2,40205.99234688155,0.006279481743508345,0.001373636710587255,0.0
148,Vembayam__Thiruvananthapuram,2,38629.99978035415,0.00018022223661395362,3.9423614327196445e-05,0.0
149,Venganoor__Thiruvananthapuram,2,35962.999519387224,0.00039434894300685493,8.62638316319263e-05,0.0
150,Vettoor__Thiruvananthapuram,2,18703.999946002325,4.4305784258864526e-05,9.691890315101353e-06,0.0
151,Vilappil__Thiruvananthapuram,2,36211.99924290489,0.0006212062440906517,0.0001358888667553462,0.0
152,Vilavoorkal__Thiruvananthapuram,2,31760.999514517902,0.00039834428546670357,8.713781284926651e-05,0.0
153,Vithura__Thiruvananthapuram,2,26248.999557289317,0.0003632497923895157,7.946089249112418e-05,0.0
154,Amboori__Thiruvananthapuram,3,15917.973264018512,1.3989950259145199,1.851683101674333,0.7760578538980579
