,iName,jName,Cij
95,Anad__Thiruvananthapuram,Kadinamkulam__Thiruvananthapuram,3.4643144585915255e-05
96,Anad__Thiruvananthapuram,Kallara__Thiruvananthapuram,0.0011232925174732163
97,Anad__Thiruvananthapuram,Kallikkad__Thiruvananthapuram,1.9488009562070225e-05
98,Anad__Thiruvananthapuram,Kalliyoor__Thiruvananthapuram,1.766121747784091e-05
99,Anad__Thiruvananthapuram,Kanjiramkulam__Thiruvananthapuram,4.293572565828188e-06
100,Anad__Thiruvananthapuram,Karakulam__Thiruvananthapuram,0.005682676532070866
101,Anad__Thiruvananthapuram,Karavaram__Thiruvananthapuram,8.11899827424046e-05
102,Anad__Thiruvananthapuram,Karode__Thiruvananthapuram,9.771598114447103e-06
103,Anad__Thiruvananthapuram,Karumkulam__Thiruvananthapuram,8.263536427369782e-06
104,Anad__Thiruvananthapuram,Kattakada__Thiruvananthapuram,4.6020906982395665e-05
105,Anad__Thiruvananthapuram,Kilimanoor__Thiruvananthapuram,3.788236709540722e-05
106,Anad__Thiruvananthapuram,Kizhuvilam__Thiruvananthapuram,9.375845240168508e-05
107,Anad__Thiruvananthapuram,Kollayil__Thiruvananthapuram,7.032051374145817e-06
108,Anad__Thiruvananthapuram,Kottukal__Thiruvananthapuram,1.1252617014790457e-05
109,Anad__Thiruvananthapuram,Kulathoor__Thiruvananthapuram,9.98177587250291e-06
110,Anad__Thiruvananthapuram,Kunnathukal__Thiruvananthapuram,1.4834230237959849e-05
111,Anad__Thiruvananthapuram,Madavoor__Thiruvananthapuram,3.908612862711628e-05
112,Anad__Thiruvananthapuram,Malayinkeezhu__Thiruvananthapuram,1.9490761678918384e-05
113,Anad__Thiruvananthapuram,Manampoor__Thiruvananthapuram,4.828360599506358e-05
114,Anad__Thiruvananthapuram,Mangalapuram__Thiruvananthapuram,4.428139466851599e-05
115,Anad__Thiruvananthapuram,Manikkal__Thiruvananthapuram,0.0018506689824511814
116,Anad__Thiruvananthapuram,Maranalloor__Thiruvananthapuram,1.6292135952057564e-05
117,Anad__Thiruvananthapuram,Mudakkal__Thiruvananthapuram,0.00013939951764878878
118,Anad__Thiruvananthapuram,Nagaroor__Thiruvananthapuram,6.170941848177693e-05
119,Anad__Thiruvananthapuram,Nanniyodu__Thiruvananthapuram,0.018872441976965172
120,Anad__Thiruvananthapuram,Navayikkulam__Thiruvananthapuram,0.00013966660930892147
121,Anad__Thiruvananthapuram,Nedumangad(M)__Thiruvananthapuram,0.10059129363841164
122,Anad__Thiruvananthapuram,Nellanadu__Thiruvananthapuram,0.0004609782173614201
123,Anad__Thiruvananthapuram,Neyyattinkara(M)__Thiruvananthapuram,8.17374523499687e-05
124,Anad__Thiruvananthapuram,Ottasekharamangalam__Thiruvananthapuram,2.397440945537538e-05
125,Anad__Thiruvananthapuram,Ottoor__Thiruvananthapuram,2.3551393354391044e-05
126,Anad__Thiruvananthapuram,Pallichal__Thiruvananthapuram,2.2099234434992506e-05
127,Anad__Thiruvananthapuram,Pallikkal__Thiruvananthapuram,2.5156471291844537e-05
128,Anad__Thiruvananthapuram,Panavoor__Thiruvananthapuram,0.03629084250292847
129,Anad__Thiruvananthapuram,Pangod__Thiruvananthapuram,0.0013593125324299564
130,Anad__Thiruvananthapuram,Parassala__Thiruvananthapuram,2.304558161609237e-05
131,Anad__Thiruvananthapuram,Pazhayakunnummel__Thiruvananthapuram,6.259992124433176e-05
132,Anad__Thiruvananthapuram,Peringammala__Thiruvananthapuram,0.0019455293621163505
133,Anad__Thiruvananthapuram,Perumkadavila__Thiruvananthapuram,7.2201501828808235e-06
134,Anad__Thiruvananthapuram,Poovachal__Thiruvananthapuram,0.0005045825198917413
135,Anad__Thiruvananthapuram,Poovar__Thiruvananthapuram,4.550958098549839e-06
136,Anad__Thiruvananthapuram,Pothencodu__Thiruvananthapuram,0.0003820275018193886
137,Anad__Thiruvananthapuram,Pulimathu__Thiruvananthapuram,0.00014838505607833665
138,Anad__Thiruvananthapuram,Pullampara__Thiruvananthapuram,0.001814378101358525
139,Anad__Thiruvananthapuram,Thirupuram__Thiruvananthapuram,4.278085867451756e-06
140,Anad__Thiruvananthapuram,Thiruvananthapuram(C)__Thiruvananthapuram,0.014921271381891891
141,Anad__Thiruvananthapuram,Tholikkodu__Thiruvananthapuram,0.017597267498835903
142,Anad__Thiruvananthapuram,Uzhamalakkal__Thiruvananthapuram,0.0017805369880333636
143,Anad__Thiruvananthapuram,Vakkam__Thiruvananthapuram,2.332921753369992e-05
144,Anad__Thiruvananthapuram,Vamanpuram__Thiruvananthapuram,0.0002717707792472562
145,Anad__Thiruvananthapuram,Varkala(M)__Thiruvananthapuram,0.0002550449796466549
146,Anad__Thiruvananthapuram,Vellanad__Thiruvananthapuram,0.0012599361126181478
147,Anad__Thiruvananthapuram,Vellarada__Thiruvananthapuram,3.0137643204497503e-05
148,Anad__Thiruvananthapuram,Vembayam__Thiruvananthapuram,0.0034292809741979942
149,Anad__Thiruvananthapuram,Venganoor__Thiruvananthapuram,1.3762826589301373e-05
150,Anad__Thiruvananthapuram,Vettoor__Thiruvananthapuram,2.9337199507161402e-05
151,Anad__Thiruvananthapuram,Vilappil__Thiruvananthapuram,0.00046193446028902006
152,Anad__Thiruvananthapuram,Vilavoorkal__Thiruvananthapuram,2.1552969656304597e-05
153,Anad__Thiruvananthapuram,Vithura__Thiruvananthapuram,0.0016548699945492056
154,Anchuthengu__Thiruvananthapuram,Amboori__Thiruvananthapuram,2.055269419718516e-06
155,Anchuthengu__Thiruvananthapuram,Anad__Thiruvananthapuram,4.192436022364007e-05
156,Anchuthengu__Thiruvananthapuram,Anchuthengu__Thiruvananthapuram,0.8167855578995332
157,Anchuthengu__Thiruvananthapuram,Andoorkonam__Thiruvananthapuram,0.00012740409023730451
158,Anchuthengu__Thiruvananthapuram,Aruvikkara__Thiruvananthapuram,7.956975726733955e-06
159,Anchuthengu__Thiruvananthapuram,Aryanad__Thiruvananthapuram,4.985236401439055e-06
160,Anchuthengu__Thiruvananthapuram,Aryancodu__Thiruvananthapuram,3.973546579188381e-06
161,Anchuthengu__Thiruvananthapuram,Athiyannoor__Thiruvananthapuram,4.845303628851292e-06
162,Anchuthengu__Thiruvananthapuram,Attingal(M)__Thiruvananthapuram,0.003275514341786871
163,Anchuthengu__Thiruvananthapuram,Azhoor__Thiruvananthapuram,0.0008793309577635505
164,Anchuthengu__Thiruvananthapuram,Balaramapuram__Thiruvananthapuram,8.045718277239766e-06
165,Anchuthengu__Thiruvananthapuram,Chemmaruthi__Thiruvananthapuram,0.0014309052353077265
166,Anchuthengu__Thiruvananthapuram,Chenkal__Thiruvananthapuram,7.6123782534417945e-06
167,Anchuthengu__Thiruvananthapuram,Cherunniyoor__Thiruvananthapuram,0.00569787487882545
168,Anchuthengu__Thiruvananthapuram,Chirayinkeezhu__Thiruvananthapuram,0.008795894054739663
169,Anchuthengu__Thiruvananthapuram,Edava__Thiruvananthapuram,0.0012924503117094355
170,Anchuthengu__Thiruvananthapuram,Elakamon__Thiruvananthapuram,0.0008470159069406143
171,Anchuthengu__Thiruvananthapuram,Kadakkavoor__Thiruvananthapuram,0.012995666540488735
172,Anchuthengu__Thiruvananthapuram,Kadinamkulam__Thiruvananthapuram,0.00030306710363670855
173,Anchuthengu__Thiruvananthapuram,Kallara__Thiruvananthapuram,8.014423715237781e-05
174,Anchuthengu__Thiruvananthapuram,Kallikkad__Thiruvananthapuram,1.6010609946120196e-06
175,Anchuthengu__Thiruvananthapuram,Kalliyoor__Thiruvananthapuram,1.0553176875938335e-05
176,Anchuthengu__Thiruvananthapuram,Kanjiramkulam__Thiruvananthapuram,2.6419929430313633e-06
177,Anchuthengu__Thiruvananthapuram,Karakulam__Thiruvananthapuram,8.837711110742609e-05
178,Anchuthengu__Thiruvananthapuram,Karavaram__Thiruvananthapuram,0.00076369950122666
179,Anchuthengu__Thiruvananthapuram,Karode__Thiruvananthapuram,6.0260211967292935e-06
180,Anchuthengu__Thiruvananthapuram,Karumkulam__Thiruvananthapuram,5.206195922472102e-06
181,Anchuthengu__Thiruvananthapuram,Kattakada__Thiruvananthapuram,9.496582621971276e-06
182,Anchuthengu__Thiruvananthapuram,Kilimanoor__Thiruvananthapuram,0.0001445233626636544
183,Anchuthengu__Thiruvananthapuram,Kizhuvilam__Thiruvananthapuram,0.0032479793676220706
184,Anchuthengu__Thiruvananthapuram,Kollayil__Thiruvananthapuram,4.04948974984439e-06
185,Anchuthengu__Thiruvananthapuram,Kottukal__Thiruvananthapuram,7.133940528479073e-06
186,Anchuthengu__Thiruvananthapuram,Kulathoor__Thiruvananthapuram,6.274558600193967e-06
187,Anchuthengu__Thiruvananthapuram,Kunnathukal__Thiruvananthapuram,8.581267385494252e-06
188,Anchuthengu__Thiruvananthapuram,Madavoor__Thiruvananthapuram,0.0001631694259004795
189,Anchuthengu__Thiruvananthapuram,Malayinkeezhu__Thiruvananthapuram,8.602013189680701e-06
190,Anchuthengu__Thiruvananthapuram,Manampoor__Thiruvananthapuram,0.0036806648833748404
191,Anchuthengu__Thiruvananthapuram,Mangalapuram__Thiruvananthapuram,0.000776827164340322
192,Anchuthengu__Thiruvananthapuram,Manikkal__Thiruvananthapuram,9.494448560884071e-05
193,Anchuthengu__Thiruvananthapuram,Maranalloor__Thiruvananthapuram,8.168221980503498e-06
194,Anchuthengu__Thiruvananthapuram,Mudakkal__Thiruvananthapuram,0.0005540147762283851
195,Anchuthengu__Thiruvananthapuram,Nagaroor__Thiruvananthapuram,0.00034914336922913555
196,Anchuthengu__Thiruvananthapuram,Nanniyodu__Thiruvananthapuram,9.30420341408011e-06
197,Anchuthengu__Thiruvananthapuram,Navayikkulam__Thiruvananthapuram,0.0008631054656143332
198,Anchuthengu__Thiruvananthapuram,Nedumangad(M)__Thiruvananthapuram,4.630757659965775e-05
199,Anchuthengu__Thiruvananthapuram,Nellanadu__Thiruvananthapuram,0.00013181023260046664
200,Anchuthengu__Thiruvananthapuram,Neyyattinkara(M)__Thiruvananthapuram,4.912847551356693e-05
201,Anchuthengu__Thiruvananthapuram,Ottasekharamangalam__Thiruvananthapuram,2.6591733344389748e-06
202,Anchuthengu__Thiruvananthapuram,Ottoor__Thiruvananthapuram,0.0009690364549207394
203,Anchuthengu__Thiruvananthapuram,Pallichal__Thiruvananthapuram,1.2184133126049149e-05
204,Anchuthengu__Thiruvananthapuram,Pallikkal__Thiruvananthapuram,0.00012061020208470022
205,Anchuthengu__Thiruvananthapuram,Panavoor__Thiruvananthapuram,3.343993093295802e-05
206,Anchuthengu__Thiruvananthapuram,Pangod__Thiruvananthapuram,8.602782174356083e-05
207,Anchuthengu__Thiruvananthapuram,Parassala__Thiruvananthapuram,1.4096170825374235e-05
208,Anchuthengu__Thiruvananthapuram,Pazhayakunnummel__Thiruvananthapuram,0.00013069710361472857
209,Anchuthengu__Thiruvananthapuram,Peringammala__Thiruvananthapuram,7.53898314390084e-06
210,Anchuthengu__Thiruvananthapuram,Perumkadavila__Thiruvananthapuram,3.8343104926945215e-06
211,Anchuthengu__Thiruvananthapuram,Poovachal__Thiruvananthapuram,1.1198880677797612e-05
212,Anchuthengu__Thiruvananthapuram,Poovar__Thiruvananthapuram,2.8267542101154704e-06
213,Anchuthengu__Thiruvananthapuram,Pothencodu__Thiruvananthapuram,0.00011875551749468314
214,Anchuthengu__Thiruvananthapuram,Pulimathu__Thiruvananthapuram,0.0002114661257460536
215,Anchuthengu__Thiruvananthapuram,Pullampara__Thiruvananthapuram,4.359233845268135e-05
216,Anchuthengu__Thiruvananthapuram,Thirupuram__Thiruvananthapuram,2.6109584621575125e-06
217,Anchuthengu__Thiruvananthapuram,Thiruvananthapuram(C)__Thiruvananthapuram,0.006930368175491669
218,Anchuthengu__Thiruvananthapuram,Tholikkodu__Thiruvananthapuram,5.774226602994196e-06
219,Anchuthengu__Thiruvananthapuram,Uzhamalakkal__Thiruvananthapuram,3.727459718615684e-06
