iName,1.0,2.0,3.0,4.0,5.0,6.0
Kottukal__Thiruvananthapuram,Kottukal__Thiruvananthapuram (30335.760000000002),Thiruvananthapuram(C)__Thiruvananthapuram (985.4247637211047),Neyyattinkara(M)__Thiruvananthapuram (279.8258837610398),Kanjiramkulam__Thiruvananthapuram (244.3692596463676),Athiyannoor__Thiruvananthapuram (214.2778931700875),Venganoor__Thiruvananthapuram (206.76284033517746)
Kulathoor__Thiruvananthapuram,Kulathoor__Thiruvananthapuram (29637.79),Thiruvananthapuram(C)__Thiruvananthapuram (540.0498465046685),Karode__Thiruvananthapuram (495.4427812902766),Poovar__Thiruvananthapuram (453.0351519056525),Chenkal__Thiruvananthapuram (222.2997598595942),Neyyattinkara(M)__Thiruvananthapuram (201.73285731677802)
Kunnathukal__Thiruvananthapuram,Kunnathukal__Thiruvananthapuram (37837.44),Thiruvananthapuram(C)__Thiruvananthapuram (372.74735012962236),Neyyattinkara(M)__Thiruvananthapuram (204.4935506320179),Vellarada__Thiruvananthapuram (149.0016533606018),Kollayil__Thiruvananthapuram (130.98386718102827),Perumkadavila__Thiruvananthapuram (92.123077864793)
Madavoor__Thiruvananthapuram,Madavoor__Thiruvananthapuram (19192.81),Thiruvananthapuram(C)__Thiruvananthapuram (357.3152709675978),Navayikkulam__Thiruvananthapuram (228.13725497677598),Pallikkal__Thiruvananthapuram (207.73844614546167),Kilimanoor__Thiruvananthapuram (157.94500914225674),Nagaroor__Thiruvananthapuram (78.91799241318192)
Malayinkeezhu__Thiruvananthapuram,Malayinkeezhu__Thiruvananthapuram (33731.88),Thiruvananthapuram(C)__Thiruvananthapuram (1672.4066473763282),Pallichal__Thiruvananthapuram (244.9326955334969),Vilavoorkal__Thiruvananthapuram (243.5261693824189),Maranalloor__Thiruvananthapuram (188.93055531399568),Neyyattinkara(M)__Thiruvananthapuram (133.58250669662436)
Manampoor__Thiruvananthapuram,Manampoor__Thiruvananthapuram (21110.18),Attingal(M)__Thiruvananthapuram (284.4834708212015),Thiruvananthapuram(C)__Thiruvananthapuram (273.08815281898677),Ottoor__Thiruvananthapuram (184.2372528790564),Kadakkavoor__Thiruvananthapuram (180.1618380226953),Cherunniyoor__Thiruvananthapuram (137.62430968635883)
Mangalapuram__Thiruvananthapuram,Mangalapuram__Thiruvananthapuram (33629.96),Thiruvananthapuram(C)__Thiruvananthapuram (1164.6838340869288),Azhoor__Thiruvananthapuram (271.4377725628459),Andoorkonam__Thiruvananthapuram (230.17339988068264),Pothencodu__Thiruvananthapuram (213.2690110871578),Kadinamkulam__Thiruvananthapuram (176.3945955788328)
Manikkal__Thiruvananthapuram,Manikkal__Thiruvananthapuram (36389.76),Thiruvananthapuram(C)__Thiruvananthapuram (654.5087087155772),Vembayam__Thiruvananthapuram (121.15693314059257),Pothencodu__Thiruvananthapuram (80.35752712404673),Nellanadu__Thiruvananthapuram (70.99166351725172),Nedumangad(M)__Thiruvananthapuram (63.757751847414134)
Maranalloor__Thiruvananthapuram,Maranalloor__Thiruvananthapuram (35358.72),Thiruvananthapuram(C)__Thiruvananthapuram (539.6332285952318),Neyyattinkara(M)__Thiruvananthapuram (164.40234387160606),Kattakada__Thiruvananthapuram (129.11232497713337),Malayinkeezhu__Thiruvananthapuram (109.27440402655023),Pallichal__Thiruvananthapuram (65.25783082980905)
Mudakkal__Thiruvananthapuram,Mudakkal__Thiruvananthapuram (35008.32),Thiruvananthapuram(C)__Thiruvananthapuram (397.32520947578433),Attingal(M)__Thiruvananthapuram (220.85976339705334),Nellanadu__Thiruvananthapuram (68.38182143205087),Mangalapuram__Thiruvananthapuram (62.89833133913488),Kizhuvilam__Thiruvananthapuram (57.33644068549579)
