iName,1.0,2.0,3.0,4.0,5.0,6.0
Anchuthengu__Thiruvananthapuram,Anchuthengu__Thiruvananthapuram (15830.36),Vakkam__Thiruvananthapuram (446.0471958181647),Thiruvananthapuram(C)__Thiruvananthapuram (179.95321073476634),Kadakkavoor__Thiruvananthapuram (75.29022864350158),Vettoor__Thiruvananthapuram (73.25315406070801),Kollam(C)__Kollam (69.33326266968095)
Andoorkonam__Thiruvananthapuram,Andoorkonam__Thiruvananthapuram (29549.76),Thiruvananthapuram(C)__Thiruvananthapuram (550.6871206334515),Kadinamkulam__Thiruvananthapuram (153.0914680051313),Mangalapuram__Thiruvananthapuram (78.5630467929364),Pothencodu__Thiruvananthapuram (67.01225741439902),Azhoor__Thiruvananthapuram (22.856076596153915)
Angadippuram__Malappuram,Angadippuram__Malappuram (10657.92),Perinthalmanna(M)__Malappuram (237.82351571067255),Manjeri(M)__Malappuram (51.46087234705695),Kozhikkode(C)__Kozhikode (43.83097559173136),Malappuram(M)__Malappuram (35.698666088226375),Thrissur(C)__Thrissur (23.423546872240987)
Angamali(M)__Ernakulam,Angamali(M)__Ernakulam (30453.15),Nedumbassery__Ernakulam (337.28445187752834),Parakkadavu__Ernakulam (127.68680391520627),Kalady__Ernakulam (113.19816321749389),Thuravoor__Ernakulam (110.26124163863939),Chengamanadu__Ernakulam (85.27998190641806)
Anikkad__Pathanamthitta,Anikkad__Pathanamthitta (13272.35),Mallappalli__Pathanamthitta (112.45355242338354),Nedumkunnam__Kottayam (67.75124872644014),Karukachal__Kottayam (40.776206521421315),Kottayam(M)__Kottayam (39.81678632393292),Thiruvalla(M)__Pathanamthitta (35.22363888878779)
Anjarakandi__Kannur,Anjarakandi__Kannur (22108.8),Kannur(C)__Kannur (247.8456824161139),Vengad__Kannur (73.92622586967971),Chembilod__Kannur (55.1748542497304),Munderi__Kannur (45.04538300576733),Peralasseri__Kannur (33.27600333031697)
Annamanada__Thrissur,Annamanada__Thrissur (27562.989999999998),Kadukutty__Thrissur (240.57389265375875),Parakkadavu__Ernakulam (192.5494006181011),Chalakkudi(M)__Thrissur (131.82329667359105),Mala__Thrissur (118.47812944485452),Angamali(M)__Ernakulam (88.67203745800309)
Anthikkad__Thrissur,Anthikkad__Thrissur (19518.59),Thrissur(C)__Thrissur (375.76634959043895),Manaloor__Thrissur (181.36831427546147),Thalikkulam__Thrissur (107.52569385769407),Thannyam__Thrissur (103.31770774084526),Arimpoor__Thrissur (85.51577297311393)
Anthoor(M)__Kannur,Anthoor(M)__Kannur (30931.81),Kannur(C)__Kannur (546.5464993345613),Thaliparambu(M)__Kannur (466.5657650647797),Kalyasseri__Kannur (197.34981022759507),Pappinisseri__Kannur (185.12999490135826),Kolacheri__Kannur (111.94336277930267)
Arakkulam__Idukki,Arakkulam__Idukki (16817.71),Velliyamattam__Idukki (68.32998318237034),Erattupetta(M)__Kottayam (50.60533561921934),Vazhathoppu__Idukki (38.6637799272471),Udumpannoor__Idukki (36.75867223628675),Thodupuzha(M)__Idukki (35.189517005655546)
