fromName,toName,value
Anad__Thiruvananthapuram,Mudakkal__Thiruvananthapuram,16811
Anad__Thiruvananthapuram,Nagaroor__Thiruvananthapuram,21798
Anad__Thiruvananthapuram,Nanniyodu__Thiruvananthapuram,6744
Anad__Thiruvananthapuram,Navayikkulam__Thiruvananthapuram,28723
Anad__Thiruvananthapuram,Nedumangad(M)__Thiruvananthapuram,3147
Anad__Thiruvananthapuram,Nellanadu__Thiruvananthapuram,12459
Anad__Thiruvananthapuram,Neyyattinkara(M)__Thiruvananthapuram,26725
Anad__Thiruvananthapuram,Ottasekharamangalam__Thiruvananthapuram,22021
Anad__Thiruvananthapuram,Ottoor__Thiruvananthapuram,27377
Anad__Thiruvananthapuram,Pallichal__Thiruvananthapuram,21181
Anad__Thiruvananthapuram,Pallikkal__Thiruvananthapuram,31313
Anad__Thiruvananthapuram,Panavoor__Thiruvananthapuram,3930
Anad__Thiruvananthapuram,Pangod__Thiruvananthapuram,13192
Anad__Thiruvananthapuram,Parassala__Thiruvananthapuram,35326
Anad__Thiruvananthapuram,Pazhayakunnummel__Thiruvananthapuram,20437
Anad__Thiruvananthapuram,Peringammala__Thiruvananthapuram,17392
Anad__Thiruvananthapuram,Perumkadavila__Thiruvananthapuram,26162
Anad__Thiruvananthapuram,Poovachal__Thiruvananthapuram,15500
Anad__Thiruvananthapuram,Poovar__Thiruvananthapuram,34497
Anad__Thiruvananthapuram,Pothencodu__Thiruvananthapuram,13616
Anad__Thiruvananthapuram,Pulimathu__Thiruvananthapuram,16970
Anad__Thiruvananthapuram,Pullampara__Thiruvananthapuram,7777
Anad__Thiruvananthapuram,Thirupuram__Thiruvananthapuram,31644
Anad__Thiruvananthapuram,Thiruvananthapuram(C)__Thiruvananthapuram,15670
Anad__Thiruvananthapuram,Tholikkodu__Thiruvananthapuram,6640
Anad__Thiruvananthapuram,Uzhamalakkal__Thiruvananthapuram,7147
Anad__Thiruvananthapuram,Vakkam__Thiruvananthapuram,27287
Anad__Thiruvananthapuram,Vamanpuram__Thiruvananthapuram,13534
Anad__Thiruvananthapuram,Varkala(M)__Thiruvananthapuram,33372
Anad__Thiruvananthapuram,Vellanad__Thiruvananthapuram,9288
Anad__Thiruvananthapuram,Vellarada__Thiruvananthapuram,28954
Anad__Thiruvananthapuram,Vembayam__Thiruvananthapuram,7234
Anad__Thiruvananthapuram,Venganoor__Thiruvananthapuram,25765
Anad__Thiruvananthapuram,Vettoor__Thiruvananthapuram,30766
Anad__Thiruvananthapuram,Vilappil__Thiruvananthapuram,12943
Anad__Thiruvananthapuram,Vilavoorkal__Thiruvananthapuram,16264
Anad__Thiruvananthapuram,Vithura__Thiruvananthapuram,14846
Anchuthengu__Thiruvananthapuram,Amboori__Thiruvananthapuram,52074
Anchuthengu__Thiruvananthapuram,Anad__Thiruvananthapuram,28368
Anchuthengu__Thiruvananthapuram,Anchuthengu__Thiruvananthapuram,0
Anchuthengu__Thiruvananthapuram,Andoorkonam__Thiruvananthapuram,15003
Anchuthengu__Thiruvananthapuram,Aruvikkara__Thiruvananthapuram,32150
Anchuthengu__Thiruvananthapuram,Aryanad__Thiruvananthapuram,40400
Anchuthengu__Thiruvananthapuram,Aryancodu__Thiruvananthapuram,48964
Anchuthengu__Thiruvananthapuram,Athiyannoor__Thiruvananthapuram,47341
Anchuthengu__Thiruvananthapuram,Attingal(M)__Thiruvananthapuram,7643
Anchuthengu__Thiruvananthapuram,Azhoor__Thiruvananthapuram,8529
Anchuthengu__Thiruvananthapuram,Balaramapuram__Thiruvananthapuram,43972
Anchuthengu__Thiruvananthapuram,Chemmaruthi__Thiruvananthapuram,8423
Anchuthengu__Thiruvananthapuram,Chenkal__Thiruvananthapuram,53036
Anchuthengu__Thiruvananthapuram,Cherunniyoor__Thiruvananthapuram,4392
Anchuthengu__Thiruvananthapuram,Chirayinkeezhu__Thiruvananthapuram,4861
Anchuthengu__Thiruvananthapuram,Edava__Thiruvananthapuram,10942
Anchuthengu__Thiruvananthapuram,Elakamon__Thiruvananthapuram,11392
Anchuthengu__Thiruvananthapuram,Kadakkavoor__Thiruvananthapuram,3929
Anchuthengu__Thiruvananthapuram,Kadinamkulam__Thiruvananthapuram,14458
Anchuthengu__Thiruvananthapuram,Kallara__Thiruvananthapuram,23359
Anchuthengu__Thiruvananthapuram,Kallikkad__Thiruvananthapuram,53105
Anchuthengu__Thiruvananthapuram,Kalliyoor__Thiruvananthapuram,38900
Anchuthengu__Thiruvananthapuram,Kanjiramkulam__Thiruvananthapuram,48812
Anchuthengu__Thiruvananthapuram,Karakulam__Thiruvananthapuram,26972
Anchuthengu__Thiruvananthapuram,Karavaram__Thiruvananthapuram,9773
Anchuthengu__Thiruvananthapuram,Karode__Thiruvananthapuram,56755
Anchuthengu__Thiruvananthapuram,Karumkulam__Thiruvananthapuram,50792
Anchuthengu__Thiruvananthapuram,Kattakada__Thiruvananthapuram,42708
Anchuthengu__Thiruvananthapuram,Kilimanoor__Thiruvananthapuram,16314
Anchuthengu__Thiruvananthapuram,Kizhuvilam__Thiruvananthapuram,6777
Anchuthengu__Thiruvananthapuram,Kollayil__Thiruvananthapuram,52727
Anchuthengu__Thiruvananthapuram,Kottukal__Thiruvananthapuram,45928
Anchuthengu__Thiruvananthapuram,Kulathoor__Thiruvananthapuram,54788
Anchuthengu__Thiruvananthapuram,Kunnathukal__Thiruvananthapuram,53588
Anchuthengu__Thiruvananthapuram,Madavoor__Thiruvananthapuram,16911
Anchuthengu__Thiruvananthapuram,Malayinkeezhu__Thiruvananthapuram,39252
Anchuthengu__Thiruvananthapuram,Manampoor__Thiruvananthapuram,5307
Anchuthengu__Thiruvananthapuram,Mangalapuram__Thiruvananthapuram,11554
Anchuthengu__Thiruvananthapuram,Manikkal__Thiruvananthapuram,18558
Anchuthengu__Thiruvananthapuram,Maranalloor__Thiruvananthapuram,43036
Anchuthengu__Thiruvananthapuram,Mudakkal__Thiruvananthapuram,12056
Anchuthengu__Thiruvananthapuram,Nagaroor__Thiruvananthapuram,12598
Anchuthengu__Thiruvananthapuram,Nanniyodu__Thiruvananthapuram,29998
Anchuthengu__Thiruvananthapuram,Navayikkulam__Thiruvananthapuram,12062
Anchuthengu__Thiruvananthapuram,Nedumangad(M)__Thiruvananthapuram,28668
Anchuthengu__Thiruvananthapuram,Nellanadu__Thiruvananthapuram,16980
Anchuthengu__Thiruvananthapuram,Neyyattinkara(M)__Thiruvananthapuram,47820
Anchuthengu__Thiruvananthapuram,Ottasekharamangalam__Thiruvananthapuram,48023
Anchuthengu__Thiruvananthapuram,Ottoor__Thiruvananthapuram,7113
Anchuthengu__Thiruvananthapuram,Pallichal__Thiruvananthapuram,40080
Anchuthengu__Thiruvananthapuram,Pallikkal__Thiruvananthapuram,17803
Anchuthengu__Thiruvananthapuram,Panavoor__Thiruvananthapuram,26969
Anchuthengu__Thiruvananthapuram,Pangod__Thiruvananthapuram,27514
Anchuthengu__Thiruvananthapuram,Parassala__Thiruvananthapuram,57295
Anchuthengu__Thiruvananthapuram,Pazhayakunnummel__Thiruvananthapuram,19009
Anchuthengu__Thiruvananthapuram,Peringammala__Thiruvananthapuram,38916
Anchuthengu__Thiruvananthapuram,Perumkadavila__Thiruvananthapuram,49139
Anchuthengu__Thiruvananthapuram,Poovachal__Thiruvananthapuram,41371
Anchuthengu__Thiruvananthapuram,Poovar__Thiruvananthapuram,52574
Anchuthengu__Thiruvananthapuram,Pothencodu__Thiruvananthapuram,15479
Anchuthengu__Thiruvananthapuram,Pulimathu__Thiruvananthapuram,17120
Anchuthengu__Thiruvananthapuram,Pullampara__Thiruvananthapuram,22233
Anchuthengu__Thiruvananthapuram,Thirupuram__Thiruvananthapuram,50410
Anchuthengu__Thiruvananthapuram,Thiruvananthapuram(C)__Thiruvananthapuram,28444
Anchuthengu__Thiruvananthapuram,Tholikkodu__Thiruvananthapuram,34754
Anchuthengu__Thiruvananthapuram,Uzhamalakkal__Thiruvananthapuram,35032
Anchuthengu__Thiruvananthapuram,Vakkam__Thiruvananthapuram,1364
Anchuthengu__Thiruvananthapuram,Vamanpuram__Thiruvananthapuram,18507
Anchuthengu__Thiruvananthapuram,Varkala(M)__Thiruvananthapuram,7258
Anchuthengu__Thiruvananthapuram,Vellanad__Thiruvananthapuram,35617
Anchuthengu__Thiruvananthapuram,Vellarada__Thiruvananthapuram,54576
Anchuthengu__Thiruvananthapuram,Vembayam__Thiruvananthapuram,21985
Anchuthengu__Thiruvananthapuram,Venganoor__Thiruvananthapuram,41594
Anchuthengu__Thiruvananthapuram,Vettoor__Thiruvananthapuram,3580
Anchuthengu__Thiruvananthapuram,Vilappil__Thiruvananthapuram,35843
Anchuthengu__Thiruvananthapuram,Vilavoorkal__Thiruvananthapuram,36125
Anchuthengu__Thiruvananthapuram,Vithura__Thiruvananthapuram,42371
Andoorkonam__Thiruvananthapuram,Amboori__Thiruvananthapuram,37746
Andoorkonam__Thiruvananthapuram,Anad__Thiruvananthapuram,16410
Andoorkonam__Thiruvananthapuram,Anchuthengu__Thiruvananthapuram,15003
Andoorkonam__Thiruvananthapuram,Andoorkonam__Thiruvananthapuram,0
Andoorkonam__Thiruvananthapuram,Aruvikkara__Thiruvananthapuram,17867
Andoorkonam__Thiruvananthapuram,Aryanad__Thiruvananthapuram,27338
Andoorkonam__Thiruvananthapuram,Aryancodu__Thiruvananthapuram,34140
Andoorkonam__Thiruvananthapuram,Athiyannoor__Thiruvananthapuram,32487
Andoorkonam__Thiruvananthapuram,Attingal(M)__Thiruvananthapuram,11423
Andoorkonam__Thiruvananthapuram,Azhoor__Thiruvananthapuram,6477
Andoorkonam__Thiruvananthapuram,Balaramapuram__Thiruvananthapuram,29043
Andoorkonam__Thiruvananthapuram,Chemmaruthi__Thiruvananthapuram,21162
Andoorkonam__Thiruvananthapuram,Chenkal__Thiruvananthapuram,38110
Andoorkonam__Thiruvananthapuram,Cherunniyoor__Thiruvananthapuram,17667
Andoorkonam__Thiruvananthapuram,Chirayinkeezhu__Thiruvananthapuram,10163
Andoorkonam__Thiruvananthapuram,Edava__Thiruvananthapuram,25605
Andoorkonam__Thiruvananthapuram,Elakamon__Thiruvananthapuram,24937
Andoorkonam__Thiruvananthapuram,Kadakkavoor__Thiruvananthapuram,12670
Andoorkonam__Thiruvananthapuram,Kadinamkulam__Thiruvananthapuram,3260
Andoorkonam__Thiruvananthapuram,Kallara__Thiruvananthapuram,17789
Andoorkonam__Thiruvananthapuram,Kallikkad__Thiruvananthapuram,39258
Andoorkonam__Thiruvananthapuram,Kalliyoor__Thiruvananthapuram,24169
Andoorkonam__Thiruvananthapuram,Kanjiramkulam__Thiruvananthapuram,34198
Andoorkonam__Thiruvananthapuram,Karakulam__Thiruvananthapuram,12476
Andoorkonam__Thiruvananthapuram,Karavaram__Thiruvananthapuram,15881
Andoorkonam__Thiruvananthapuram,Karode__Thiruvananthapuram,41917
Andoorkonam__Thiruvananthapuram,Karumkulam__Thiruvananthapuram,36291
Andoorkonam__Thiruvananthapuram,Kattakada__Thiruvananthapuram,27916
Andoorkonam__Thiruvananthapuram,Kilimanoor__Thiruvananthapuram,20449
Andoorkonam__Thiruvananthapuram,Kizhuvilam__Thiruvananthapuram,8969
Andoorkonam__Thiruvananthapuram,Kollayil__Thiruvananthapuram,37726
Andoorkonam__Thiruvananthapuram,Kottukal__Thiruvananthapuram,31323
Andoorkonam__Thiruvananthapuram,Kulathoor__Thiruvananthapuram,40068
Andoorkonam__Thiruvananthapuram,Kunnathukal__Thiruvananthapuram,38629
Andoorkonam__Thiruvananthapuram,Madavoor__Thiruvananthapuram,23949
Andoorkonam__Thiruvananthapuram,Malayinkeezhu__Thiruvananthapuram,24259
Andoorkonam__Thiruvananthapuram,Manampoor__Thiruvananthapuram,15361
Andoorkonam__Thiruvananthapuram,Mangalapuram__Thiruvananthapuram,4058
Andoorkonam__Thiruvananthapuram,Manikkal__Thiruvananthapuram,8320
Andoorkonam__Thiruvananthapuram,Maranalloor__Thiruvananthapuram,28061
Andoorkonam__Thiruvananthapuram,Mudakkal__Thiruvananthapuram,9514
Andoorkonam__Thiruvananthapuram,Nagaroor__Thiruvananthapuram,16644
Andoorkonam__Thiruvananthapuram,Nanniyodu__Thiruvananthapuram,20763
Andoorkonam__Thiruvananthapuram,Navayikkulam__Thiruvananthapuram,21707
Andoorkonam__Thiruvananthapuram,Nedumangad(M)__Thiruvananthapuram,15513
Andoorkonam__Thiruvananthapuram,Nellanadu__Thiruvananthapuram,11072
Andoorkonam__Thiruvananthapuram,Neyyattinkara(M)__Thiruvananthapuram,32833
Andoorkonam__Thiruvananthapuram,Ottasekharamangalam__Thiruvananthapuram,33435
Andoorkonam__Thiruvananthapuram,Ottoor__Thiruvananthapuram,17837
Andoorkonam__Thiruvananthapuram,Pallichal__Thiruvananthapuram,25126
Andoorkonam__Thiruvananthapuram,Pallikkal__Thiruvananthapuram,26699
Andoorkonam__Thiruvananthapuram,Panavoor__Thiruvananthapuram,16849
Andoorkonam__Thiruvananthapuram,Pangod__Thiruvananthapuram,22274
Andoorkonam__Thiruvananthapuram,Parassala__Thiruvananthapuram,42311
Andoorkonam__Thiruvananthapuram,Pazhayakunnummel__Thiruvananthapuram,20426
Andoorkonam__Thiruvananthapuram,Peringammala__Thiruvananthapuram,31623
Andoorkonam__Thiruvananthapuram,Perumkadavila__Thiruvananthapuram,34151
Andoorkonam__Thiruvananthapuram,Poovachal__Thiruvananthapuram,26923
Andoorkonam__Thiruvananthapuram,Poovar__Thiruvananthapuram,37917
Andoorkonam__Thiruvananthapuram,Pothencodu__Thiruvananthapuram,3917
Andoorkonam__Thiruvananthapuram,Pulimathu__Thiruvananthapuram,16213
Andoorkonam__Thiruvananthapuram,Pullampara__Thiruvananthapuram,13817
Andoorkonam__Thiruvananthapuram,Thirupuram__Thiruvananthapuram,35628
Andoorkonam__Thiruvananthapuram,Thiruvananthapuram(C)__Thiruvananthapuram,13579
Andoorkonam__Thiruvananthapuram,Tholikkodu__Thiruvananthapuram,23019
Andoorkonam__Thiruvananthapuram,Uzhamalakkal__Thiruvananthapuram,21856
Andoorkonam__Thiruvananthapuram,Vakkam__Thiruvananthapuram,14445
Andoorkonam__Thiruvananthapuram,Vamanpuram__Thiruvananthapuram,14521
Andoorkonam__Thiruvananthapuram,Varkala(M)__Thiruvananthapuram,21804
Andoorkonam__Thiruvananthapuram,Vellanad__Thiruvananthapuram,21620
Andoorkonam__Thiruvananthapuram,Vellarada__Thiruvananthapuram,39810
Andoorkonam__Thiruvananthapuram,Vembayam__Thiruvananthapuram,9176
Andoorkonam__Thiruvananthapuram,Venganoor__Thiruvananthapuram,27009
Andoorkonam__Thiruvananthapuram,Vettoor__Thiruvananthapuram,18334
Andoorkonam__Thiruvananthapuram,Vilappil__Thiruvananthapuram,21066
Andoorkonam__Thiruvananthapuram,Vilavoorkal__Thiruvananthapuram,21126
Andoorkonam__Thiruvananthapuram,Vithura__Thiruvananthapuram,31256
Aruvikkara__Thiruvananthapuram,Amboori__Thiruvananthapuram,19952
Aruvikkara__Thiruvananthapuram,Anad__Thiruvananthapuram,8075
Aruvikkara__Thiruvananthapuram,Anchuthengu__Thiruvananthapuram,32150
Aruvikkara__Thiruvananthapuram,Andoorkonam__Thiruvananthapuram,17867
Aruvikkara__Thiruvananthapuram,Aruvikkara__Thiruvananthapuram,0
Aruvikkara__Thiruvananthapuram,Aryanad__Thiruvananthapuram,10600
Aruvikkara__Thiruvananthapuram,Aryancodu__Thiruvananthapuram,17276
Aruvikkara__Thiruvananthapuram,Athiyannoor__Thiruvananthapuram,20268
Aruvikkara__Thiruvananthapuram,Attingal(M)__Thiruvananthapuram,26261
Aruvikkara__Thiruvananthapuram,Azhoor__Thiruvananthapuram,23976
Aruvikkara__Thiruvananthapuram,Balaramapuram__Thiruvananthapuram,16559
Aruvikkara__Thiruvananthapuram,Chemmaruthi__Thiruvananthapuram,36375
Aruvikkara__Thiruvananthapuram,Chenkal__Thiruvananthapuram,24576
Aruvikkara__Thiruvananthapuram,Cherunniyoor__Thiruvananthapuram,33755
Aruvikkara__Thiruvananthapuram,Chirayinkeezhu__Thiruvananthapuram,27555
Aruvikkara__Thiruvananthapuram,Edava__Thiruvananthapuram,41841
Aruvikkara__Thiruvananthapuram,Elakamon__Thiruvananthapuram,40211
Aruvikkara__Thiruvananthapuram,Kadakkavoor__Thiruvananthapuram,28983
Aruvikkara__Thiruvananthapuram,Kadinamkulam__Thiruvananthapuram,20115
Aruvikkara__Thiruvananthapuram,Kallara__Thiruvananthapuram,19277
Aruvikkara__Thiruvananthapuram,Kallikkad__Thiruvananthapuram,21420
Aruvikkara__Thiruvananthapuram,Kalliyoor__Thiruvananthapuram,14931
Aruvikkara__Thiruvananthapuram,Kanjiramkulam__Thiruvananthapuram,23444
Aruvikkara__Thiruvananthapuram,Karakulam__Thiruvananthapuram,5415
Aruvikkara__Thiruvananthapuram,Karavaram__Thiruvananthapuram,29116
Aruvikkara__Thiruvananthapuram,Karode__Thiruvananthapuram,28886
Aruvikkara__Thiruvananthapuram,Karumkulam__Thiruvananthapuram,25858
Aruvikkara__Thiruvananthapuram,Kattakada__Thiruvananthapuram,11112
Aruvikkara__Thiruvananthapuram,Kilimanoor__Thiruvananthapuram,30198
Aruvikkara__Thiruvananthapuram,Kizhuvilam__Thiruvananthapuram,25443
Aruvikkara__Thiruvananthapuram,Kollayil__Thiruvananthapuram,22801
Aruvikkara__Thiruvananthapuram,Kottukal__Thiruvananthapuram,21094
Aruvikkara__Thiruvananthapuram,Kulathoor__Thiruvananthapuram,27987
Aruvikkara__Thiruvananthapuram,Kunnathukal__Thiruvananthapuram,22496
Aruvikkara__Thiruvananthapuram,Madavoor__Thiruvananthapuram,34716
Aruvikkara__Thiruvananthapuram,Malayinkeezhu__Thiruvananthapuram,10038
Aruvikkara__Thiruvananthapuram,Manampoor__Thiruvananthapuram,30802
Aruvikkara__Thiruvananthapuram,Mangalapuram__Thiruvananthapuram,20636
Aruvikkara__Thiruvananthapuram,Manikkal__Thiruvananthapuram,14664
Aruvikkara__Thiruvananthapuram,Maranalloor__Thiruvananthapuram,12776
Aruvikkara__Thiruvananthapuram,Mudakkal__Thiruvananthapuram,21986
Aruvikkara__Thiruvananthapuram,Nagaroor__Thiruvananthapuram,28163
Aruvikkara__Thiruvananthapuram,Nanniyodu__Thiruvananthapuram,14370
Aruvikkara__Thiruvananthapuram,Navayikkulam__Thiruvananthapuram,34930
Aruvikkara__Thiruvananthapuram,Nedumangad(M)__Thiruvananthapuram,5191
Aruvikkara__Thiruvananthapuram,Nellanadu__Thiruvananthapuram,18637
Aruvikkara__Thiruvananthapuram,Neyyattinkara(M)__Thiruvananthapuram,18807
Aruvikkara__Thiruvananthapuram,Ottasekharamangalam__Thiruvananthapuram,15926
Aruvikkara__Thiruvananthapuram,Ottoor__Thiruvananthapuram,32729
Aruvikkara__Thiruvananthapuram,Pallichal__Thiruvananthapuram,13135
Aruvikkara__Thiruvananthapuram,Pallikkal__Thiruvananthapuram,38223
Aruvikkara__Thiruvananthapuram,Panavoor__Thiruvananthapuram,12000
Aruvikkara__Thiruvananthapuram,Pangod__Thiruvananthapuram,21257
