name,S,E,I,R
Karumkulam__Thiruvananthapuram,28290,0,0,0
Karunagappally(M)__Kollam,49604,0,0,0
Karunapuram__Idukki,26637,0,0,0
Karuvarakundu__Malappuram,8168,0,0,0
Karuvatta__Alappuzha,21211,0,0,0
Kasaragod(M)__Kasaragod,54172,0,0,0
Kathiroor__Kannur,31087,0,0,0
Kattakada__Thiruvananthapuram,40448,0,0,0
Kattakambal__Thrissur,25903,0,0,0
Kattappana(M)__Idukki,52045,0,0,0
Kattipara__Kozhikode,22706,0,0,0
Kattoor__Thrissur,18017,0,0,0
Kavalam__Alappuzha,14010,0,0,0
Kavalangad__Ernakulam,29727,0,0,0
Kavanoor__Malappuram,7259,0,0,0
Kavassery__Palakkad,29003,0,0,0
Kavilumpara__Kozhikode,22828,0,0,0
Kaviyoor__Pathanamthitta,16852,0,0,0
Kayakkodi__Kozhikode,24578,0,0,0
Kayamkulam(M)__Alappuzha,68634,0,0,0
Kayanna__Kozhikode,13755,0,0,0
Kayyur-Chimeni__Kasaragod,23495,0,0,0
Keerampara__Ernakulam,12525,0,0,0
Keezhalloor__Kannur,20747,0,0,0
Keezhariyur__Kozhikode,15116,0,0,0
Keezhattur__Malappuram,7112,0,0,0
Keezhmadu__Ernakulam,36567,0,0,0
Keezhuparambu__Malappuram,4500,0,0,0
Kelakom__Kannur,20440,0,0,0
Keralassery__Palakkad,15022,0,0,0
Kidangoor__Kottayam,21261,0,0,0
Kilimanoor__Thiruvananthapuram,20515,0,0,0
Kinanur-Karindalam__Kasaragod,27585,0,0,0
Kizhakkambalam__Ernakulam,33363,0,0,0
Kizhakkanchery__Palakkad,40928,0,0,0
Kizhakkoth__Kozhikode,31261,0,0,0
Kizhuvilam__Thiruvananthapuram,32901,0,0,0
Kochi(C)__Ernakulam,602046,0,0,0
Kodakara__Thrissur,32298,0,0,0
Kodamthuruthu__Alappuzha,25385,0,0,0
Kodancheri__Kozhikode,34854,0,0,0
Kodassery__Thrissur,34198,0,0,0
Kodikulam__Idukki,12952,0,0,0
Kodiyathur__Kozhikode,28335,0,0,0
Kodom-Belur__Kasaragod,33211,0,0,0
Kodoor__Malappuram,7119,0,0,0
Kodumbu__Palakkad,23828,0,0,0
Kodumon__Pathanamthitta,27700,0,0,0
Kodungalloor(M)__Thrissur,71244,0,0,0
Koduvalli(M)__Kozhikode,48687,0,0,0
Koduvayoor__Palakkad,29197,0,0,0
Koipram__Pathanamthitta,26425,0,0,0
Kokkayar__Idukki,11786,0,0,0
Kolacheri__Kannur,27943,0,0,0
Kolayad__Kannur,19790,0,0,0
Kolazhi__Thrissur,31567,0,0,0
Kollam(C)__Kollam,387942,0,0,0
Kollayil__Thiruvananthapuram,25077,0,0,0
Kollengodu__Palakkad,29587,0,0,0
Kondazhy__Thrissur,22403,0,0,0
Kondotty(M)__Malappuram,59526,0,0,0
Kongadu__Palakkad,30020,0,0,0
Konnathadi__Idukki,29092,0,0,0
Konni__Pathanamthitta,30299,0,0,0
Koodali__Kannur,30239,0,0,0
Koodaranji__Kozhikode,18678,0,0,0
Koorachundu__Kozhikode,17027,0,0,0
Kooroppada__Kottayam,27977,0,0,0
Koothali__Kozhikode,16969,0,0,0
Koothattukulam(M)__Ernakulam,17253,0,0,0
Koottikkal__Kottayam,14277,0,0,0
Koottilangadi__Malappuram,7005,0,0,0
Koovappady__Ernakulam,36241,0,0,0
Koppam__Palakkad,30169,0,0,0
Koratty__Thrissur,32523,0,0,0
Koruthodu__Kottayam,16413,0,0,0
Kothamangalam(M)__Ernakulam,38837,0,0,0
Kottakkal(M)__Malappuram,44382,0,0,0
Kottanadu__Pathanamthitta,14396,0,0,0
Kottangal__Pathanamthitta,17164,0,0,0
Kottankara__Kollam,39635,0,0,0
Kottappady__Ernakulam,17903,0,0,0
Kottarakkara(M)__Kollam,30055,0,0,0
Kottathara__Wayanad,3787,0,0,0
Kottayam__Kannur,19176,0,0,0
Kottayam(M)__Kottayam,138283,0,0,0
Kottayi__Palakkad,22037,0,0,0
Kottiyoor__Kannur,16768,0,0,0
Kottoppadam__Palakkad,43283,0,0,0
Kottukal__Thiruvananthapuram,33336,0,0,0
Kottur__Kozhikode,30982,0,0,0
Kottuvally__Ernakulam,42852,0,0,0
Koyilandi(M)__Kozhikode,71873,0,0,0
Kozhancherry__Pathanamthitta,12021,0,0,0
Kozhikkode(C)__Kozhikode,608503,0,0,0
Kozhinjampara__Palakkad,28751,0,0,0
Kozhuvanal__Kottayam,13381,0,0,0
Krishnapuram__Alappuzha,26705,0,0,0
Kudayathoor__Idukki,12122,0,0,0
Kulakkada__Kollam,32415,0,0,0
Kulanada__Pathanamthitta,23655,0,0,0
Kulasekharapuram__Kollam,49157,0,0,0
Kulathoor__Thiruvananthapuram,32569,0,0,0
Kulathupuzha__Kollam,34721,0,0,0
Kulukkalloor__Palakkad,27971,0,0,0
Kumarakom__Kottayam,22358,0,0,0
Kumaramangalam__Idukki,14865,0,0,0
Kumaramputhoor__Palakkad,32860,0,0,0
Kumarapuram__Alappuzha,20572,0,0,0
Kumbadaje__Kasaragod,14772,0,0,0
Kumbala__Kasaragod,46691,0,0,0
Kumbalam__Ernakulam,29193,0,0,0
Kumbalangy__Ernakulam,28248,0,0,0
Kumili__Idukki,35915,0,0,0
Kummil__Kollam,20383,0,0,0
Kundara__Kollam,14651,0,0,0
Kunjimangalam__Kannur,18965,0,0,0
Kunnamangalam__Kozhikode,53223,0,0,0
Kunnamkulam(M)__Thrissur,54071,0,0,0
Kunnamthanam__Pathanamthitta,20573,0,0,0
Kunnathukal__Thiruvananthapuram,39414,0,0,0
Kunnathunad__Ernakulam,33508,0,0,0
Kunnathur__Kollam,25009,0,0,0
Kunnothuparambu__Kannur,39392,0,0,0
Kunnukara__Ernakulam,21765,0,0,0
Kunnummal__Kozhikode,18031,0,0,0
Kuravilangad__Kottayam,18033,0,0,0
Kurichi__Kottayam,35815,0,0,0
Kurumathur__Kannur,31023,0,0,0
Kuruva__Malappuram,8513,0,0,0
Kuruvattur__Kozhikode,34241,0,0,0
Kuthannoor__Palakkad,23891,0,0,0
Kuthiyathodu__Alappuzha,23669,0,0,0
Kuthuparambu(M)__Kannur,29619,0,0,0
Kuttampuzha__Ernakulam,24451,0,0,0
Kuttiatoor__Kannur,25925,0,0,0
Kuttichal__Thiruvananthapuram,18343,0,0,0
Kuttikol__Kasaragod,24923,0,0,0
Kuttippuram__Malappuram,8961,0,0,0
Kuttoor__Pathanamthitta,19652,0,0,0
Kutyadi__Kozhikode,19351,0,0,0
Kuzhalmannam__Palakkad,27366,0,0,0
Kuzhimanna__Malappuram,6492,0,0,0
Kuzhuppilly__Ernakulam,12137,0,0,0
Kuzhur__Thrissur,19916,0,0,0
Lekkidiperoor__Palakkad,32858,0,0,0
Madakkathara__Thrissur,27181,0,0,0
Madapally__Kottayam,35245,0,0,0
Madavoor__Kozhikode,28672,0,0,0
Madavoor__Thiruvananthapuram,21091,0,0,0
Madayi__Kannur,35888,0,0,0
Madhur__Kasaragod,41463,0,0,0
Madikai__Kasaragod,22050,0,0,0
Mahe,41816,0,0,0
Makkaraparambu__Malappuram,3644,0,0,0
Mala__Thrissur,34371,0,0,0
Malampuzha__Palakkad,14479,0,0,0
Malapattom__Kannur,9628,0,0,0
Malappuram(M)__Malappuram,68127,0,0,0
Malayalappuzha__Pathanamthitta,17033,0,0,0
Malayattoor Neeleeswaram__Ernakulam,25485,0,0,0
Malayinkeezhu__Thiruvananthapuram,37068,0,0,0
Mallappalli__Pathanamthitta,17712,0,0,0
Mallappuzhassery__Pathanamthitta,11784,0,0,0
Malur__Kannur,22314,0,0,0
Mambadu__Malappuram,7533,0,0,0
Manakkad__Idukki,15106,0,0,0
Manaloor__Thrissur,32886,0,0,0
Manampoor__Thiruvananthapuram,23198,0,0,0
