name,area
Thalavoor__Kollam,33582555.56
Kulakkada__Kollam,29987814.46
Pattazhi__Kollam,19072501.41
Kunnathur__Kollam,21400146.05
Sooranadu South__Kollam,17100154.51
Thodiyoor__Kollam,20841730.64
Aryankavu__Kollam,180025061.8
Kulasekharapuram__Kollam,17142134.57
Pattazhi Vadakkekkara__Kollam,20647207.99
Poruvazhy__Kollam,19331429.19
Clappana__Kollam,10341746.72
Thenmala__Kollam,157029990.1
Alappad__Kollam,6759330.926
Thazhava__Kollam,23726150.48
Ochira__Kollam,13107635.38
Sooranadu North__Kollam,22604271.52
Piravanthoor__Kollam,131542514.6
Vilakudi__Kollam,21034858.55
Punaloor(M)__Kollam,34463216.9
Pathanapuram__Kollam,37337220.41
Adoor(M)__Pathanamthitta,20832355.47
Aranmula__Pathanamthitta,23530456.26
Aruvappulam__Pathanamthitta,455275057.4
Ayiroor__Pathanamthitta,25252221.74
Chenneerkara__Pathanamthitta,19445830.33
Cherukol__Pathanamthitta,16130248.08
Chittar__Pathanamthitta,128167841.3
Enadimangalam__Pathanamthitta,30633122.56
Erathu__Pathanamthitta,21837336.53
Eraviperoor__Pathanamthitta,21630362.56
Ezhumattoor__Pathanamthitta,22086657.37
Ezhamkulam__Pathanamthitta,30447205.14
Elanthoor__Pathanamthitta,15130086.81
Kadampanadu__Pathanamthitta,34265745.84
Kadapra__Pathanamthitta,16819150.6
Kalanjoor__Pathanamthitta,55554213.06
Kallooppara__Pathanamthitta,17298696.19
Kaviyoor__Pathanamthitta,13317239.49
Kodumon__Pathanamthitta,46383758.89
Koipram__Pathanamthitta,22812511.55
Konni__Pathanamthitta,32515939.91
Kottanadu__Pathanamthitta,23192076.9
Kottangal__Pathanamthitta,23608686.99
Kozhancherry__Pathanamthitta,9625560.018
Kulanada__Pathanamthitta,20136041.9
Kunnamthanam__Pathanamthitta,17375208.37
Kuttoor__Pathanamthitta,9786904.475
Malayalappuzha__Pathanamthitta,24552389.57
Mallappuzhassery__Pathanamthitta,11029838.35
Mezhuveli__Pathanamthitta,16079861.98
Mylapra__Pathanamthitta,11182559.14
Naranammoozhi__Pathanamthitta,19216343.98
Naranganam__Pathanamthitta,20602348.74
Nedumpram__Pathanamthitta,8257024.355
Niranam__Pathanamthitta,10924490.3
Omalloor__Pathanamthitta,14571671.82
Pallikkal__Pathanamthitta,30872553.13
Pandalam Thekkekara__Pathanamthitta,19333709.78
Pandalam(M)__Pathanamthitta,28826062.82
Pathanamthitta(M)__Pathanamthitta,28044684.02
Peringara__Pathanamthitta,20497100.85
Pramadam__Pathanamthitta,38126767.27
Puramattom__Pathanamthitta,13998379.25
Ranni__Pathanamthitta,14247679.95
Ranni Angadi__Pathanamthitta,20892175.01
Ranni Pazhavangadi__Pathanamthitta,37703655.31
Ranni Perunnadu__Pathanamthitta,48539564.31
Seethathodu__Pathanamthitta,690790517.3
Thannithode__Pathanamthitta,150726810.6
Thiruvalla(M)__Pathanamthitta,25714696.39
Thottapuzhassery__Pathanamthitta,15283716.47
Thumpamon__Pathanamthitta,7482828.172
Vadasserikkara__Pathanamthitta,57570332.28
Vallikkode__Pathanamthitta,18538246.19
Vechuchira__Pathanamthitta,34195451.57
Mallappalli__Pathanamthitta,20170782.88
Anikkad__Pathanamthitta,19345642.31
Edathwa__Alappuzha,21920484.99
Mannancherry__Alappuzha,37828580.49
Alappuzha(M)__Alappuzha,45184310.55
Purakkad__Alappuzha,23439031.52
Pulinkunnu__Alappuzha,33341319.43
Cheruthana__Alappuzha,14559067.2
Pattanakkad__Alappuzha,15817943.75
Chennam Pallipuram__Alappuzha,26356598.72
Mavelikkara(M)__Alappuzha,14194398.54
Chengannur(M)__Alappuzha,12735818.02
Pathiyoor__Alappuzha,15236223.03
Thanneermukkam__Alappuzha,34585525.49
Kayamkulam(M)__Alappuzha,21396396.54
Palamel__Alappuzha,26338494.58
MavelikkaraThekkekara__Alappuzha,20481425.88
Muhamma__Alappuzha,27296890.8
Mannar__Alappuzha,15232904.26
ChennithalaThriperunthura__Alappuzha,22140059.88
Chettikulangara__Alappuzha,20833831.98
Thazhakkara__Alappuzha,22545347.77
Thiruvanvandoor__Alappuzha,9511355.938
Pandanadu__Alappuzha,11210790.35
Budhannur__Alappuzha,15781989.37
Puliyoor__Alappuzha,11744743.19
Cheriyanad__Alappuzha,14465750.31
Ala__Alappuzha,10964254.76
Venmony__Alappuzha,18162429.3
Bharanikavu__Alappuzha,23491305.64
Vallikunnam__Alappuzha,21691294.73
MavelikkaraThamarakulam__Alappuzha,21251371.33
Chunakkara__Alappuzha,16791652.28
Nooranadu__Alappuzha,21293654.94
Arattupuzha__Alappuzha,20946104.21
Chingoli__Alappuzha,6704267.068
Cheppad__Alappuzha,12772181.6
Devikulangara__Alappuzha,15655677.54
Kandalloor__Alappuzha,9739648.976
Muthukulam__Alappuzha,11788682.06
Karuvatta__Alappuzha,18114503.82
Thrikkunnapuzha__Alappuzha,12029805.88
Kumarapuram__Alappuzha,11122495.73
Karthikapalli__Alappuzha,7255322.848
Pallipad__Alappuzha,16052115.65
Veeyapuram__Alappuzha,13930168.94
Harippad(M)__Alappuzha,13667199.93
Punnapra South__Alappuzha,10898919.56
Ambalappuzha North__Alappuzha,12392183.39
Ambalappuzha South__Alappuzha,12354083.55
Neelamperoor__Alappuzha,21674365.93
Veliyanad__Alappuzha,18299524.79
Kavalam__Alappuzha,42834093.81
Muttar__Alappuzha,10388275.92
Kainakari__Alappuzha,47321338.67
Nedumudi__Alappuzha,27384991.8
Champakkulam__Alappuzha,23316127.46
Thakazhi__Alappuzha,28666747.27
Thalavadi__Alappuzha,15942372.44
Kadakkarapalli__Alappuzha,9240461.23
Cherthala South__Alappuzha,18893005.95
Kanjikkuzhi__Alappuzha,12949217.68
Mararikulam North__Alappuzha,18389601.41
Aroor__Alappuzha,14195370.51
Ezhupunna__Alappuzha,14903566.91
Kodamthuruthu__Alappuzha,12267901.85
Kuthiyathodu__Alappuzha,8543951.813
Thuravoor__Alappuzha,19164161.99
Vayalar__Alappuzha,14337631.83
Perumpalam__Alappuzha,14624658.12
Arukutty__Alappuzha,12615447.74
Panavally__Alappuzha,19022894.83
Thaikattussery__Alappuzha,14144846.96
Ramankari__Alappuzha,17133545.35
Mararikulam South__Alappuzha,19955349.73
Cherthala (M)__Alappuzha,18611622.99
Aryad__Alappuzha,6693454.861
Mulakuzha__Alappuzha,23261626.45
Krishnapuram__Alappuzha,10057485.24
Aymanam__Kottayam,30259275.39
Akalakunnam__Kottayam,35029738.69
Athirampuzha__Kottayam,20568552.28
Ayarkunnam__Kottayam,28679636.39
Bharananganam__Kottayam,27158649.82
Erumeli__Kottayam,88465206.76
Kadanad__Kottayam,39798391.71
Kaduthuruthy__Kottayam,34132065.39
Kanakari__Kottayam,23446235.47
Kangazha__Kottayam,25238874.5
Kanjirapally__Kottayam,50629977.74
Karoor__Kottayam,36494867.93
Karukachal__Kottayam,22695874.58
Kidangoor__Kottayam,23306585.09
Kooroppada__Kottayam,27490453.16
Kozhuvanal__Kottayam,21374832
Kumarakom__Kottayam,51072107.48
Kuravilangad__Kottayam,23176275
Kurichi__Kottayam,16479996.77
Madapally__Kottayam,24159756.11
Manjoor__Kottayam,29209038.11
Marangattupilly__Kottayam,30914925.42
Meenachil__Kottayam,28724611.96
Meenadam__Kottayam,11240149.6
Mundakkayam__Kottayam,45671791.51
Nedumkunnam__Kottayam,23912362.54
Pallikkathodu__Kottayam,23622722.64
Pampadi__Kottayam,30201948.96
Payippad__Kottayam,20206465.91
Thalanad__Kottayam,33790857.92
Thalappalam__Kottayam,23085660.16
Theekoyi__Kottayam,34797070.82
Thiruvarppu__Kottayam,33401673.14
Thrikodithanam__Kottayam,11667968.26
TV Puram__Kottayam,14450719.03
Udayanapuram__Kottayam,18736690.13
Uzhavoor__Kottayam,25251278.74
Vakathanam__Kottayam,26350654.7
Vazhappally__Kottayam,24253577.75
Vazhoor__Kottayam,30786698.99
Vechoor__Kottayam,30164730.97
Veliyannoor__Kottayam,19162228.68
Vellavoor__Kottayam,23472274.85
Vijayapuram__Kottayam,15153533.32
Arpookkara__Kottayam,28309795.16
Panachikkad__Kottayam,22880065.54
Manimala__Kottayam,36992500.51
Maravanthuruth__Kottayam,16065279.6
Chirakadav__Kottayam,39345978.39
Elikkulam__Kottayam,40301323.54
Erattupetta(M)__Kottayam,7384781.546
Ettumanoor(M)__Kottayam,27475490.15
Koottikkal__Kottayam,43590299.33
Koruthodu__Kottayam,28882192.28
Manarkadu__Kottayam,17407189.56
Melukavu__Kottayam,27770909.57
Mulakulam__Kottayam,29433532.82
Moonnilavu__Kottayam,34874607.68
Mutholi__Kottayam,19035801.29
Parathodu__Kottayam,56472798.43
Poonjar__Kottayam,18332504.12
Poonjar Thekkekara__Kottayam,53329255.56
Puthupalli__Kottayam,22614677.17
Thidanad__Kottayam,42238217.82
Vaikom(M)__Kottayam,12718520.95
Kallara (Vaikom)__Kottayam,27896270.63
Thalayazham__Kottayam,21011962.27
Kottayam(M)__Kottayam,56077650.53
Njeezhoor__Kottayam,29260059.46
Velloor__Kottayam,19097667.62
Thalayolaparambu__Kottayam,20078577.6
Changanassery(M)__Kottayam,14231027.75
Pala(M)__Kottayam,16390402.83
Neendoor__Kottayam,21092047.59
Kadaplamattam__Kottayam,21701792.13
Chempu__Kottayam,19294838.87
Ramapuram__Kottayam,52926122.29
Arakkuzha__Ernakulam,29659171.17
Ayavana__Ernakulam,29186499.3
Aiykkaranadu__Ernakulam,25398307.56
Alangad__Ernakulam,18913219.5
Aluva(M)__Ernakulam,6636155.16
Amballur__Ernakulam,22878979.14
Angamali(M)__Ernakulam,20971460.55
Asamannur__Ernakulam,21279916
Avoly__Ernakulam,19549333.15
Ayyampuzha__Ernakulam,246868936.2
Chellanam__Ernakulam,24981295.45
Chendamangalam__Ernakulam,11177019.07
Chengamanadu__Ernakulam,16661736.55
Cheranallur__Ernakulam,4300465.744
Chittattukara__Ernakulam,9717589.177
Choornikkara__Ernakulam,7847583.17
Chottanikara__Ernakulam,12400701.69
Edakkattuvayal__Ernakulam,26041921.86
Edathala__Ernakulam,19177624.84
Edavavanakad__Ernakulam,10857228.53
Elanji__Ernakulam,30159108.79
Elankunnapuzha__Ernakulam,17814509.65
Eloor(M)__Ernakulam,13558704
Ezhikkara__Ernakulam,15772736.23
Kadamakkudy__Ernakulam,17939596.68
Kadungalloor__Ernakulam,17313667.29
Kalady__Ernakulam,16596190.28
Kalamasseri(M)__Ernakulam,39416517.36
Kalloorkkad__Ernakulam,24249982.61
Kanjoor__Ernakulam,13966925.91
Karukutty__Ernakulam,29206578.96
Karumaloor__Ernakulam,20651038.84
Kavalangad__Ernakulam,70114323.82
Keerampara__Ernakulam,37478981.6
Keezhmadu__Ernakulam,17429527.96
Kizhakkambalam__Ernakulam,31411203.33
Kochi(C)__Ernakulam,97705864.81
Koothattukulam(M)__Ernakulam,22871365.71
Koovappady__Ernakulam,31864131.6
Kothamangalam(M)__Ernakulam,39548862.08
Kottappady__Ernakulam,32281132.36
Kottuvally__Ernakulam,20173011.47
Kumbalam__Ernakulam,20577375.84
Kumbalangy__Ernakulam,8190336.322
Kunnathunad__Ernakulam,27412389.49
Kunnukara__Ernakulam,19918711.36
Kuttampuzha__Ernakulam,491273225
Kuzhuppilly__Ernakulam,6337267.789
Malayattoor Neeleeswaram__Ernakulam,33830576.75
Maneedu__Ernakulam,26428166.35
Manjallur__Ernakulam,22311999.88
Manjapra__Ernakulam,10892656.09
Marad(M)__Ernakulam,12460234.16
Marady__Ernakulam,21444546.75
Mazhuvannur__Ernakulam,49200213.74
Mookkannoor__Ernakulam,22970993.39
Mudakkuzha__Ernakulam,21800102.41
Mulanthuruthy__Ernakulam,21411974.47
Mulavukadu__Ernakulam,16689123.77
Muvattupuzha(M)__Ernakulam,11525388.18
Nayarambalam__Ernakulam,13203465.36
Nedumbassery__Ernakulam,22870381.95
Nellikuzhy__Ernakulam,25872459.07
Njarakkal__Ernakulam,8202275.898
Okkal__Ernakulam,13214034.49
Paingottoor__Ernakulam,31042717.82
Payipra__Ernakulam,33742887.85
Palakuzha__Ernakulam,22649416.28
Pallarimangalam__Ernakulam,12755703.37
Pallippuram__Ernakulam,14305416.13
Pampakkuda__Ernakulam,28923384.66
Parakkadavu__Ernakulam,24558649.37
North Paravoor(M)__Ernakulam,8549172.691
Perumbavoor(M)__Ernakulam,11486161.8
Pindimana__Ernakulam,24752376.19
Piravom(M)__Ernakulam,29538076.78
Poothrika__Ernakulam,26615088.46
Pothanikkad__Ernakulam,18932330.3
Puthenvelikara__Ernakulam,19227268.4
Ramamangalam__Ernakulam,23081230.07
Rayamangalam__Ernakulam,36783380.91
Sreemoolanagaram__Ernakulam,14546008.24
Thirumaradi__Ernakulam,31170848.87
Thiruvaniyoor__Ernakulam,25422989.08
Thrikkakkara(M)__Ernakulam,15573176.33
Thrippunithura(M)__Ernakulam,29618372.47
Thuravoor__Ernakulam,16373842.71
Udayamperoor__Ernakulam,25891036.13
Vadakkekara__Ernakulam,10388128.44
Vadavucode Puthenkurissu__Ernakulam,33104403.93
Valakom__Ernakulam,24671153.32
Varapetty__Ernakulam,21522323.6
Varapuzha__Ernakulam,9692881.703
Vazhakkulam__Ernakulam,20110162.89
Vengola__Ernakulam,35700252.45
Vengoor__Ernakulam,53705591.94
Chelakkara__Thrissur,60356039.78
Eriyad__Thrissur,15291377.23
Edavilangadu__Thrissur,7282959.929
Kodungalloor(M)__Thrissur,29676944.67
Mathilakam__Thrissur,13276333.92
Sreenarayanapuram__Thrissur,18991826.35
Perinjanam__Thrissur,9238231.648
Kaipamangalam__Thrissur,14231783.32
Edathiruthy__Thrissur,16381529
Thannyam__Thrissur,18105829.03
Valappad__Thrissur,17313078.18
Thalikkulam__Thrissur,11088776.8
Vadanappilly__Thrissur,13134656.94
Engandiyoor__Thrissur,16318701.66
Chavakkad(M)__Thrissur,13088836.45
Punnayoorkkulam__Thrissur,19713420.73
Vadakkekkadu__Thrissur,13146095.14
Guruvayur(M)__Thrissur,29421438.15
Kunnamkulam(M)__Thrissur,19683261.22
Kattakambal__Thrissur,16313821.22
Kadavalloor__Thrissur,24695680.07
Porkkulam__Thrissur,14067994.8
Chowannoor__Thrissur,18922700.15
Orumanayoor__Thrissur,5206882.734
Mullasseri__Thrissur,17803257.99
Pavaratty__Thrissur,9886002.499
Elavally__Thrissur,16698318.26
Kaiparambu__Thrissur,21242129.43
Kuzhur__Thrissur,19574491.41
Poyya__Thrissur,19448579.56
Puthenchira__Thrissur,21540992.49
Annamanada__Thrissur,24575833.66
Kadukutty__Thrissur,17022807.78
Koratty__Thrissur,23499227.18
Pariyaram__Thrissur,28978847.28
Athirappilli__Thrissur,348590041
Muriyad__Thrissur,22083883.22
Chalakkudi(M)__Thrissur,25036310.54
Kodassery__Thrissur,48938283.78
Mattathoor__Thrissur,208098561
Mala__Thrissur,28657332.67
Aloor__Thrissur,36036308.85
Vellangalloor__Thrissur,26534678.11
Poomangalam__Thrissur,8933730.269
Padiyoor__Thrissur,18471301.17
Kattoor__Thrissur,12043088.38
Karalam__Thrissur,21530256.96
Cherppu__Thrissur,20838895.24
Paralam__Thrissur,17359039.24
Chazhoor__Thrissur,25313996.17
Anthikkad__Thrissur,13054370.95
Velookkara__Thrissur,35120141.34
Iringalakkuda(M)__Thrissur,22505643.53
Parappukkara__Thrissur,21175915.67
Nenmanikkara__Thrissur,11996378.84
Puthukkad__Thrissur,15527551.23
Varantharappilli__Thrissur,170491867.7
Thrikoor__Thrissur,25596405.7
Vallachira__Thrissur,10084316.27
Avinisseri__Thrissur,8070769.342
Puttoor__Thrissur,87512030.95
Alagappa Nagar__Thrissur,17522770.58
Nadathara__Thrissur,20252580.11
Adat__Thrissur,23793557.8
Thrissur(C)__Thrissur,101539858.1
Madakkathara__Thrissur,28495924.1
Veloor__Thrissur,28350856.84
Kadangode__Thrissur,32550750.69
Erumapetty__Thrissur,33598777.15
Desamangalam__Thrissur,22524670.88
Varavoor__Thrissur,30923335.34
Mulloorkkara__Thrissur,42157417.92
Vadakkancherri(M)__Thrissur,51952663.07
Mulankunnathukavu__Thrissur,20364286.31
Panancheri__Thrissur,110179544.7
Thekkumkara__Thrissur,39966597.8
Pazhayannoor__Thrissur,135353361.8
Thiruvilwamala__Thrissur,38062602.71
Kondazhy__Thrissur,30310406.03
Vallathol Nagar__Thrissur,18942790.94
Panjal__Thrissur,29293262.06
Kandanasseri__Thrissur,15439654.31
Tholoor__Thrissur,16171881.64
Avanoor__Thrissur,18200720.3
Arimpoor__Thrissur,22971948.15
Kolazhi__Thrissur,16740525.58
Choondal__Thrissur,20331397.93
Punnayoor__Thrissur,17452301.19
Kadappuram__Thrissur,10535495.32
Nattika__Thrissur,9341639.324
Kodakara__Thrissur,21516206.33
Manaloor__Thrissur,17962375.51
Meloor__Thrissur,23403929.72
Venkidangu__Thrissur,20721024.77
Kulukkalloor__Palakkad,21885118.52
Kizhakkanchery__Palakkad,111526081.2
Sholayur__Palakkad,195674926
Puthur__Palakkad,375213657.5
Kottoppadam__Palakkad,77230669.78
Malampuzha__Palakkad,134943166.1
Vandazhi__Palakkad,58404967.27
Ayiloor__Palakkad,40251036.06
Nelliyampathi__Palakkad,530958065.2
Elavancheri__Palakkad,32626695.84
Nenmara__Palakkad,34262018.43
Kuthannoor__Palakkad,35616436.6
Perumatti__Palakkad,60147425.91
Pallasana__Palakkad,29447150.66
Koduvayoor__Palakkad,20777123.92
Puthunagaram__Palakkad,9860754.241
Peruvembu__Palakkad,19620409.32
Kodumbu__Palakkad,22982736.53
Thenkurissi__Palakkad,30226516.95
Kannadi__Palakkad,22668388.16
Mathur__Palakkad,25358388.62
Alathur__Palakkad,19621649.56
Melarcode__Palakkad,25498323.11
Kavassery__Palakkad,30920119.55
Tharur__Palakkad,34069724.98
Peringottukurissi__Palakkad,31570421.41
Erimayur__Palakkad,33993573.95
Kuzhalmannam__Palakkad,30992754.17
Kottayi__Palakkad,20429397.53
Chittoor-Thathamangalam(M)__Palakkad,15012337.99
Polpulli__Palakkad,19939294.85
Nalleppilli__Palakkad,39195601.01
Eruthempathi__Palakkad,37101251.03
Vadakarapathy__Palakkad,49486971.21
Elappulli__Palakkad,48407017.9
Puthusseri__Palakkad,113116471.5
Marutharoad__Palakkad,16079367.38
Palakkad(M)__Palakkad,27071673.97
Parali__Palakkad,29148137.62
Mundoor__Palakkad,31818090.3
Karimba__Palakkad,73563542.04
Thenkara__Palakkad,53900654.34
Agali__Palakkad,159338198.1
Pirayiri__Palakkad,18679540.95
Puthupariyaram__Palakkad,78907730.8
Mankara__Palakkad,19607876.91
Kongadu__Palakkad,36845578.53
Vadakkancherri__Palakkad,35334605.44
Kannambra__Palakkad,32145116.45
Puthukkode__Palakkad,16563854.74
Shornur(M)__Palakkad,31845678.44
Vaniyamkulam__Palakkad,33732751.65
Ananganadi__Palakkad,18117362.48
Pookkottukavu__Palakkad,21482660.4
Trikkadeeri__Palakkad,26838881.85
Nellaya__Palakkad,26755299.95
Chalavara__Palakkad,30960360.55
Cherppulassery (M)__Palakkad,27464510.87
Vellinezhi__Palakkad,26403162.97
Sreekrishnapuram__Palakkad,30257470.09
Karimpuzha__Palakkad,48435020.35
Kanjirappuzha__Palakkad,57236561.85
Karakurissi__Palakkad,28697786.49
Mannarkkad(M)__Palakkad,15417641.29
Kumaramputhoor__Palakkad,36042849.6
Alanalloor__Palakkad,58831727.7
Lekkidiperoor__Palakkad,30854623.25
Mannoor__Palakkad,17696724.27
Keralassery__Palakkad,24841693.79
Ambalappara__Palakkad,52155926.2
Thachanattukara__Palakkad,35183916.16
Anakkara__Palakkad,21638205.75
Kappur__Palakkad,23219779.59
Chalissery__Palakkad,19076969.23
Pattithara__Palakkad,26854013.73
Paruthoor__Palakkad,20866835.16
Thrithala__Palakkad,21343697.5
Nagalasserry__Palakkad,26931875.65
Thirumittakode__Palakkad,33181769.37
Muthuthala__Palakkad,19687717.67
Pattambi (M)__Palakkad,16912395.37
Thiruvengappura__Palakkad,20544144.79
Ongalloor__Palakkad,32182431.02
Koppam__Palakkad,26142037.97
Vilayoor__Palakkad,18259218.3
Vallappuzha__Palakkad,21839032.44
Pattancherry__Palakkad,31131506.16
Ottappalam(M)__Palakkad,32714399.75
Thachampara__Palakkad,46628645.16
Kozhinjampara__Palakkad,43457860.57
Muthalamada__Palakkad,109952357.6
Kadampazhippuram__Palakkad,38534939.33
Vadavannoor__Palakkad,16560220.21
Kollengodu__Palakkad,42619410.13
Pothukallu__Malappuram,177389816.6
Perumpadappu__Malappuram,14906680.42
Veliyamcod__Malappuram,14464048.85
Nannammukku__Malappuram,19982262.02
Marancherri__Malappuram,20102293.53
Edappal__Malappuram,23904528.21
Alamkod__Malappuram,20235137.33
Vattamkulam__Malappuram,20741846.73
Aliparambu__Malappuram,35206685.6
Thazhekkod__Malappuram,41480282.49
Elamkulam__Malappuram,21623806.1
Angadippuram__Malappuram,37233816.36
Perinthalmanna(M)__Malappuram,38294881.07
Pulamanthol__Malappuram,31975680.98
Moorkanad__Malappuram,30460912.11
Irimbiliyam__Malappuram,24067537.86
Valancherri(M)__Malappuram,22370692.99
Edayoor__Malappuram,30251629.52
Thirurangadi(M)__Malappuram,17622554.51
Vallikunnu__Malappuram,23589713.09
Munniyoor__Malappuram,22121393.18
ARNagar__Malappuram,15212980.24
Peruvalloor__Malappuram,18908027.73
Parappur__Malappuram,15091081.88
Vengara__Malappuram,19120350.55
Athavanad__Malappuram,26848831.62
Marakkara__Malappuram,27850603.26
Kuruva__Malappuram,34871756.61
Ponmala__Malappuram,21553737.35
Ponnani(M)__Malappuram,24799042.05
Kalady__Malappuram,13503448.48
Purathur__Malappuram,18969782.49
Thriprangod__Malappuram,21466095.76
Thirunavaya__Malappuram,19804719.72
Mangalam__Malappuram,12537117.15
Niramaruthoor__Malappuram,9474902.812
Vettom__Malappuram,16759503.08
Thirur(M)__Malappuram,17282228.62
Cheriyamundam__Malappuram,11630647.77
Thalakkad__Malappuram,15052854.31
Perumannaklari__Malappuram,12273905.03
